Provincias;Edad (3 grupos de edad);Españoles/Extranjeros;Sexo;Año;Total
40 Segovia;0-15 años;TOTAL;Hombres;2018;11.193
40 Segovia;0-15 años;TOTAL;Hombres;2017;11.237
40 Segovia;0-15 años;TOTAL;Hombres;2016;11.362
40 Segovia;0-15 años;TOTAL;Hombres;2015;11.530
40 Segovia;0-15 años;TOTAL;Hombres;2014;11.609
40 Segovia;0-15 años;TOTAL;Hombres;2013;11.904
40 Segovia;0-15 años;TOTAL;Hombres;2012;11.972
40 Segovia;0-15 años;TOTAL;Hombres;2011;11.998
40 Segovia;0-15 años;TOTAL;Hombres;2010;12.062
40 Segovia;0-15 años;TOTAL;Hombres;2009;12.053
40 Segovia;0-15 años;TOTAL;Hombres;2008;11.872
40 Segovia;0-15 años;TOTAL;Hombres;2007;11.518
40 Segovia;0-15 años;TOTAL;Hombres;2006;11.419
40 Segovia;0-15 años;TOTAL;Hombres;2005;11.253
40 Segovia;0-15 años;TOTAL;Hombres;2004;10.977
40 Segovia;0-15 años;TOTAL;Hombres;2003;10.734
40 Segovia;0-15 años;TOTAL;Hombres;2002;10.549
40 Segovia;0-15 años;TOTAL;Hombres;2001;10.555
40 Segovia;0-15 años;TOTAL;Hombres;2000;10.759
40 Segovia;0-15 años;TOTAL;Hombres;1999;11.101
40 Segovia;0-15 años;TOTAL;Hombres;1998;11.320
40 Segovia;0-15 años;TOTAL;Mujeres;2022;10.109
40 Segovia;0-15 años;TOTAL;Mujeres;2021;10.276
40 Segovia;0-15 años;TOTAL;Mujeres;2020;10.339
40 Segovia;0-15 años;TOTAL;Mujeres;2019;10.373
40 Segovia;0-15 años;TOTAL;Mujeres;2018;10.490
40 Segovia;0-15 años;TOTAL;Mujeres;2017;10.697
40 Segovia;0-15 años;TOTAL;Mujeres;2016;10.819
40 Segovia;0-15 años;TOTAL;Mujeres;2015;11.046
40 Segovia;0-15 años;TOTAL;Mujeres;2014;11.151
40 Segovia;0-15 años;TOTAL;Mujeres;2013;11.351
40 Segovia;0-15 años;TOTAL;Mujeres;2012;11.463
40 Segovia;0-15 años;TOTAL;Mujeres;2011;11.509
40 Segovia;0-15 años;TOTAL;Mujeres;2010;11.493
40 Segovia;0-15 años;TOTAL;Mujeres;2009;11.383
40 Segovia;0-15 años;TOTAL;Mujeres;2008;11.149
40 Segovia;0-15 años;TOTAL;Mujeres;2007;10.781
40 Segovia;0-15 años;TOTAL;Mujeres;2006;10.552
40 Segovia;0-15 años;TOTAL;Mujeres;2005;10.475
40 Segovia;0-15 años;TOTAL;Mujeres;2004;10.234
40 Segovia;0-15 años;TOTAL;Mujeres;2003;10.005
40 Segovia;0-15 años;TOTAL;Mujeres;2002;9.792
40 Segovia;0-15 años;TOTAL;Mujeres;2001;9.687
40 Segovia;0-15 años;TOTAL;Mujeres;2000;9.800
40 Segovia;0-15 años;TOTAL;Mujeres;1999;10.022
40 Segovia;0-15 años;TOTAL;Mujeres;1998;10.237
40 Segovia;0-15 años;Españoles;Ambos sexos;2022;17.518
40 Segovia;0-15 años;Españoles;Ambos sexos;2021;17.815
40 Segovia;0-15 años;Españoles;Ambos sexos;2020;17.888
40 Segovia;0-15 años;Españoles;Ambos sexos;2019;18.160
40 Segovia;0-15 años;Españoles;Ambos sexos;2018;18.545
40 Segovia;0-15 años;Españoles;Ambos sexos;2017;18.824
40 Segovia;0-15 años;Españoles;Ambos sexos;2016;18.895
40 Segovia;0-15 años;Españoles;Ambos sexos;2015;19.008
40 Segovia;0-15 años;Españoles;Ambos sexos;2014;18.999
40 Segovia;0-15 años;Españoles;Ambos sexos;2013;19.232
40 Segovia;0-15 años;Españoles;Ambos sexos;2012;19.309
40 Segovia;0-15 años;Españoles;Ambos sexos;2011;19.472
40 Segovia;0-15 años;Españoles;Ambos sexos;2010;19.568
40 Segovia;0-15 años;Españoles;Ambos sexos;2009;19.516
40 Segovia;0-15 años;Españoles;Ambos sexos;2008;19.403
40 Segovia;0-15 años;Españoles;Ambos sexos;2007;19.426
40 Segovia;0-15 años;Españoles;Ambos sexos;2006;19.519
40 Segovia;0-15 años;Españoles;Ambos sexos;2005;19.432
40 Segovia;0-15 años;Españoles;Ambos sexos;2004;19.359
40 Segovia;0-15 años;Españoles;Ambos sexos;2003;19.338
40 Segovia;0-15 años;Españoles;Ambos sexos;2002;19.366
40 Segovia;0-15 años;Españoles;Ambos sexos;2001;19.754
40 Segovia;0-15 años;Españoles;Ambos sexos;2000;20.239
40 Segovia;0-15 años;Españoles;Ambos sexos;1999;20.886
40 Segovia;0-15 años;Españoles;Ambos sexos;1998;21.353
40 Segovia;0-15 años;Españoles;Hombres;2022;8.996
40 Segovia;0-15 años;Españoles;Hombres;2021;9.134
40 Segovia;0-15 años;Españoles;Hombres;2020;9.180
40 Segovia;0-15 años;Españoles;Hombres;2019;9.365
40 Segovia;0-15 años;Españoles;Hombres;2018;9.602
40 Segovia;0-15 años;Españoles;Hombres;2017;9.675
40 Segovia;0-15 años;Españoles;Hombres;2016;9.689
40 Segovia;0-15 años;Españoles;Hombres;2015;9.720
40 Segovia;0-15 años;Españoles;Hombres;2014;9.700
40 Segovia;0-15 años;Españoles;Hombres;2013;9.833
40 Segovia;0-15 años;Españoles;Hombres;2012;9.852
40 Segovia;0-15 años;Españoles;Hombres;2011;9.940
40 Segovia;0-15 años;Españoles;Hombres;2010;10.012
40 Segovia;0-15 años;Españoles;Hombres;2009;10.011
40 Segovia;0-15 años;Españoles;Hombres;2008;9.997
40 Segovia;0-15 años;Españoles;Hombres;2007;10.057
40 Segovia;0-15 años;Españoles;Hombres;2006;10.150
40 Segovia;0-15 años;Españoles;Hombres;2005;10.070
40 Segovia;0-15 años;Españoles;Hombres;2004;10.033
40 Segovia;0-15 años;Españoles;Hombres;2003;10.019
40 Segovia;0-15 años;Españoles;Hombres;2002;10.067
40 Segovia;0-15 años;Españoles;Hombres;2001;10.325
40 Segovia;0-15 años;Españoles;Hombres;2000;10.600
40 Segovia;0-15 años;Españoles;Hombres;1999;10.981
40 Segovia;0-15 años;Españoles;Hombres;1998;11.221
40 Segovia;0-15 años;Españoles;Mujeres;2022;8.522
40 Segovia;0-15 años;Españoles;Mujeres;2021;8.681
40 Segovia;0-15 años;Españoles;Mujeres;2020;8.708
40 Segovia;0-15 años;Españoles;Mujeres;2019;8.795
40 Segovia;0-15 años;Españoles;Mujeres;2018;8.943
40 Segovia;0-15 años;Españoles;Mujeres;2017;9.149
40 Segovia;0-15 años;Españoles;Mujeres;2016;9.206
40 Segovia;0-15 años;Españoles;Mujeres;2015;9.288
40 Segovia;0-15 años;Españoles;Mujeres;2014;9.299
40 Segovia;0-15 años;Españoles;Mujeres;2013;9.399
40 Segovia;0-15 años;Españoles;Mujeres;2012;9.457
40 Segovia;0-15 años;Españoles;Mujeres;2011;9.532
40 Segovia;0-15 años;Españoles;Mujeres;2010;9.556
40 Segovia;0-15 años;Españoles;Mujeres;2009;9.505
40 Segovia;0-15 años;Españoles;Mujeres;2008;9.406
40 Segovia;0-15 años;Españoles;Mujeres;2007;9.369
40 Segovia;0-15 años;Españoles;Mujeres;2006;9.369
40 Segovia;0-15 años;Españoles;Mujeres;2005;9.362
40 Segovia;0-15 años;Españoles;Mujeres;2004;9.326
40 Segovia;0-15 años;Españoles;Mujeres;2003;9.319
40 Segovia;0-15 años;Españoles;Mujeres;2002;9.299
40 Segovia;0-15 años;Españoles;Mujeres;2001;9.429
40 Segovia;0-15 años;Españoles;Mujeres;2000;9.639
40 Segovia;0-15 años;Españoles;Mujeres;1999;9.905
40 Segovia;0-15 años;Españoles;Mujeres;1998;10.132
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2022;3.232
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2021;3.288
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2020;3.377
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2019;3.244
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2018;3.138
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2017;3.110
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2016;3.286
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2015;3.568
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2014;3.761
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2013;4.023
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2012;4.126
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2011;4.035
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2010;3.987
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2009;3.920
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2008;3.618
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2007;2.873
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2006;2.452
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2005;2.296
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2004;1.852
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2003;1.401
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2002;975
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2001;489
40 Segovia;0-15 años;Extranjeros;Ambos sexos;2000;321
40 Segovia;0-15 años;Extranjeros;Ambos sexos;1999;237
40 Segovia;0-15 años;Extranjeros;Ambos sexos;1998;205
40 Segovia;0-15 años;Extranjeros;Hombres;2022;1.645
40 Segovia;0-15 años;Extranjeros;Hombres;2021;1.693
40 Segovia;0-15 años;Extranjeros;Hombres;2020;1.746
40 Segovia;0-15 años;Extranjeros;Hombres;2019;1.666
40 Segovia;0-15 años;Extranjeros;Hombres;2018;1.591
40 Segovia;0-15 años;Extranjeros;Hombres;2017;1.562
40 Segovia;0-15 años;Extranjeros;Hombres;2016;1.673
40 Segovia;0-15 años;Extranjeros;Hombres;2015;1.810
40 Segovia;0-15 años;Extranjeros;Hombres;2014;1.909
40 Segovia;0-15 años;Extranjeros;Hombres;2013;2.071
40 Segovia;0-15 años;Extranjeros;Hombres;2012;2.120
40 Segovia;0-15 años;Extranjeros;Hombres;2011;2.058
40 Segovia;0-15 años;Extranjeros;Hombres;2010;2.050
40 Segovia;0-15 años;Extranjeros;Hombres;2009;2.042
40 Segovia;0-15 años;Extranjeros;Hombres;2008;1.875
40 Segovia;0-15 años;Extranjeros;Hombres;2007;1.461
40 Segovia;0-15 años;Extranjeros;Hombres;2006;1.269
40 Segovia;0-15 años;Extranjeros;Hombres;2005;1.183
40 Segovia;0-15 años;Extranjeros;Hombres;2004;944
40 Segovia;0-15 años;Extranjeros;Hombres;2003;715
40 Segovia;0-15 años;Extranjeros;Hombres;2002;482
40 Segovia;0-15 años;Extranjeros;Hombres;2001;230
40 Segovia;0-15 años;Extranjeros;Hombres;2000;159
40 Segovia;0-15 años;Extranjeros;Hombres;1999;120
40 Segovia;0-15 años;Extranjeros;Hombres;1998;100
40 Segovia;0-15 años;Extranjeros;Mujeres;2022;1.587
40 Segovia;0-15 años;Extranjeros;Mujeres;2021;1.595
40 Segovia;0-15 años;Extranjeros;Mujeres;2020;1.631
40 Segovia;0-15 años;Extranjeros;Mujeres;2019;1.578
40 Segovia;0-15 años;Extranjeros;Mujeres;2018;1.547
40 Segovia;0-15 años;Extranjeros;Mujeres;2017;1.548
40 Segovia;0-15 años;Extranjeros;Mujeres;2016;1.613
40 Segovia;0-15 años;Extranjeros;Mujeres;2015;1.758
40 Segovia;0-15 años;Extranjeros;Mujeres;2014;1.852
40 Segovia;0-15 años;Extranjeros;Mujeres;2013;1.952
40 Segovia;0-15 años;Extranjeros;Mujeres;2012;2.006
40 Segovia;0-15 años;Extranjeros;Mujeres;2011;1.977
40 Segovia;0-15 años;Extranjeros;Mujeres;2010;1.937
40 Segovia;0-15 años;Extranjeros;Mujeres;2009;1.878
40 Segovia;0-15 años;Extranjeros;Mujeres;2008;1.743
40 Segovia;0-15 años;Extranjeros;Mujeres;2007;1.412
40 Segovia;0-15 años;Extranjeros;Mujeres;2006;1.183
40 Segovia;0-15 años;Extranjeros;Mujeres;2005;1.113
40 Segovia;0-15 años;Extranjeros;Mujeres;2004;908
40 Segovia;0-15 años;Extranjeros;Mujeres;2003;686
40 Segovia;0-15 años;Extranjeros;Mujeres;2002;493
40 Segovia;0-15 años;Extranjeros;Mujeres;2001;258
40 Segovia;0-15 años;Extranjeros;Mujeres;2000;161
40 Segovia;0-15 años;Extranjeros;Mujeres;1999;118
40 Segovia;0-15 años;Extranjeros;Mujeres;1998;106
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2022;15,58
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2021;15,58
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2020;15,88
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2019;15,16
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2018;14,47
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2017;14,18
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2016;14,81
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2015;15,80
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2014;16,52
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2013;17,30
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2012;17,61
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2011;17,17
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2010;16,93
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2009;16,73
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2008;15,72
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2007;12,88
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2006;11,16
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2005;10,57
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2004;8,73
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2003;6,76
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2002;4,79
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2001;2,42
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;2000;1,56
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;1999;1,12
40 Segovia;0-15 años;% Extranjeros;Ambos sexos;1998;0,95
40 Segovia;0-15 años;% Extranjeros;Hombres;2022;15,46
40 Segovia;0-15 años;% Extranjeros;Hombres;2021;15,64
40 Segovia;0-15 años;% Extranjeros;Hombres;2020;15,98
40 Segovia;0-15 años;% Extranjeros;Hombres;2019;15,10
40 Segovia;0-15 años;% Extranjeros;Hombres;2018;14,21
40 Segovia;0-15 años;% Extranjeros;Hombres;2017;13,90
40 Segovia;0-15 años;% Extranjeros;Hombres;2016;14,72
40 Segovia;0-15 años;% Extranjeros;Hombres;2015;15,70
40 Segovia;0-15 años;% Extranjeros;Hombres;2014;16,44
40 Segovia;0-15 años;% Extranjeros;Hombres;2013;17,40
40 Segovia;0-15 años;% Extranjeros;Hombres;2012;17,71
40 Segovia;0-15 años;% Extranjeros;Hombres;2011;17,15
40 Segovia;0-15 años;% Extranjeros;Hombres;2010;17,00
40 Segovia;0-15 años;% Extranjeros;Hombres;2009;16,94
40 Segovia;0-15 años;% Extranjeros;Hombres;2008;15,79
40 Segovia;0-15 años;% Extranjeros;Hombres;2007;12,68
40 Segovia;0-15 años;% Extranjeros;Hombres;2006;11,11
40 Segovia;0-15 años;% Extranjeros;Hombres;2005;10,51
40 Segovia;0-15 años;% Extranjeros;Hombres;2004;8,60
40 Segovia;0-15 años;% Extranjeros;Hombres;2003;6,66
40 Segovia;0-15 años;% Extranjeros;Hombres;2002;4,57
40 Segovia;0-15 años;% Extranjeros;Hombres;2001;2,18
40 Segovia;0-15 años;% Extranjeros;Hombres;2000;1,48
40 Segovia;0-15 años;% Extranjeros;Hombres;1999;1,08
40 Segovia;0-15 años;% Extranjeros;Hombres;1998;0,88
40 Segovia;0-15 años;% Extranjeros;Mujeres;2022;15,70
40 Segovia;0-15 años;% Extranjeros;Mujeres;2021;15,52
40 Segovia;0-15 años;% Extranjeros;Mujeres;2020;15,78
40 Segovia;0-15 años;% Extranjeros;Mujeres;2019;15,21
40 Segovia;0-15 años;% Extranjeros;Mujeres;2018;14,75
40 Segovia;0-15 años;% Extranjeros;Mujeres;2017;14,47
40 Segovia;0-15 años;% Extranjeros;Mujeres;2016;14,91
40 Segovia;0-15 años;% Extranjeros;Mujeres;2015;15,92
40 Segovia;0-15 años;% Extranjeros;Mujeres;2014;16,61
40 Segovia;0-15 años;% Extranjeros;Mujeres;2013;17,20
40 Segovia;0-15 años;% Extranjeros;Mujeres;2012;17,50
40 Segovia;0-15 años;% Extranjeros;Mujeres;2011;17,18
40 Segovia;0-15 años;% Extranjeros;Mujeres;2010;16,85
40 Segovia;0-15 años;% Extranjeros;Mujeres;2009;16,50
40 Segovia;0-15 años;% Extranjeros;Mujeres;2008;15,63
40 Segovia;0-15 años;% Extranjeros;Mujeres;2007;13,10
40 Segovia;0-15 años;% Extranjeros;Mujeres;2006;11,21
40 Segovia;0-15 años;% Extranjeros;Mujeres;2005;10,63
40 Segovia;0-15 años;% Extranjeros;Mujeres;2004;8,87
40 Segovia;0-15 años;% Extranjeros;Mujeres;2003;6,86
40 Segovia;0-15 años;% Extranjeros;Mujeres;2002;5,03
40 Segovia;0-15 años;% Extranjeros;Mujeres;2001;2,66
40 Segovia;0-15 años;% Extranjeros;Mujeres;2000;1,64
40 Segovia;0-15 años;% Extranjeros;Mujeres;1999;1,18
40 Segovia;0-15 años;% Extranjeros;Mujeres;1998;1,04
40 Segovia;16-64 años;TOTAL;Ambos sexos;2022;97.834
40 Segovia;16-64 años;TOTAL;Ambos sexos;2021;97.927
40 Segovia;16-64 años;TOTAL;Ambos sexos;2020;97.334
40 Segovia;16-64 años;TOTAL;Ambos sexos;2019;97.030
40 Segovia;16-64 años;TOTAL;Ambos sexos;2018;97.121
40 Segovia;16-64 años;TOTAL;Ambos sexos;2017;97.712
40 Segovia;16-64 años;TOTAL;Ambos sexos;2016;98.954
40 Segovia;16-64 años;TOTAL;Ambos sexos;2015;100.329
40 Segovia;16-64 años;TOTAL;Ambos sexos;2014;101.886
40 Segovia;16-64 años;TOTAL;Ambos sexos;2013;103.869
40 Segovia;16-64 años;TOTAL;Ambos sexos;2012;105.489
40 Segovia;16-64 años;TOTAL;Ambos sexos;2011;105.818
40 Segovia;16-64 años;TOTAL;Ambos sexos;2010;105.949
40 Segovia;16-64 años;TOTAL;Ambos sexos;2009;106.726
40 Segovia;16-64 años;TOTAL;Ambos sexos;2008;106.216
40 Segovia;16-64 años;TOTAL;Ambos sexos;2007;102.228
40 Segovia;16-64 años;TOTAL;Ambos sexos;2006;99.636
40 Segovia;16-64 años;TOTAL;Ambos sexos;2005;98.939
40 Segovia;16-64 años;TOTAL;Ambos sexos;2004;96.314
40 Segovia;16-64 años;TOTAL;Ambos sexos;2003;94.748
40 Segovia;16-64 años;TOTAL;Ambos sexos;2002;93.639
40 Segovia;16-64 años;TOTAL;Ambos sexos;2001;91.862
40 Segovia;16-64 años;TOTAL;Ambos sexos;2000;91.706
40 Segovia;16-64 años;TOTAL;Ambos sexos;1999;91.829
40 Segovia;16-64 años;TOTAL;Ambos sexos;1998;92.021
40 Segovia;16-64 años;TOTAL;Hombres;2022;50.548
40 Segovia;16-64 años;TOTAL;Hombres;2021;50.562
40 Segovia;16-64 años;TOTAL;Hombres;2020;50.380
40 Segovia;16-64 años;TOTAL;Hombres;2019;50.220
40 Segovia;16-64 años;TOTAL;Hombres;2018;50.372
40 Segovia;16-64 años;TOTAL;Hombres;2017;50.860
40 Segovia;16-64 años;TOTAL;Hombres;2016;51.610
40 Segovia;16-64 años;TOTAL;Hombres;2015;52.524
40 Segovia;16-64 años;TOTAL;Hombres;2014;53.433
40 Segovia;16-64 años;TOTAL;Hombres;2013;54.506
40 Segovia;16-64 años;TOTAL;Hombres;2012;55.529
40 Segovia;16-64 años;TOTAL;Hombres;2011;55.775
40 Segovia;16-64 años;TOTAL;Hombres;2010;55.809
40 Segovia;16-64 años;TOTAL;Hombres;2009;56.501
40 Segovia;16-64 años;TOTAL;Hombres;2008;56.312
40 Segovia;16-64 años;TOTAL;Hombres;2007;53.832
40 Segovia;16-64 años;TOTAL;Hombres;2006;52.284
40 Segovia;16-64 años;TOTAL;Hombres;2005;51.878
40 Segovia;16-64 años;TOTAL;Hombres;2004;50.408
40 Segovia;16-64 años;TOTAL;Hombres;2003;49.500
40 Segovia;16-64 años;TOTAL;Hombres;2002;48.773
40 Segovia;16-64 años;TOTAL;Hombres;2001;47.682
40 Segovia;16-64 años;TOTAL;Hombres;2000;47.450
40 Segovia;16-64 años;TOTAL;Hombres;1999;47.494
40 Segovia;16-64 años;TOTAL;Hombres;1998;47.528
40 Segovia;16-64 años;TOTAL;Mujeres;2022;47.286
40 Segovia;16-64 años;TOTAL;Mujeres;2021;47.365
40 Segovia;16-64 años;TOTAL;Mujeres;2020;46.954
40 Segovia;16-64 años;TOTAL;Mujeres;2019;46.810
40 Segovia;16-64 años;TOTAL;Mujeres;2018;46.749
40 Segovia;16-64 años;TOTAL;Mujeres;2017;46.852
40 Segovia;16-64 años;TOTAL;Mujeres;2016;47.344
40 Segovia;16-64 años;TOTAL;Mujeres;2015;47.805
40 Segovia;16-64 años;TOTAL;Mujeres;2014;48.453
40 Segovia;16-64 años;TOTAL;Mujeres;2013;49.363
40 Segovia;16-64 años;TOTAL;Mujeres;2012;49.960
40 Segovia;16-64 años;TOTAL;Mujeres;2011;50.043
40 Segovia;16-64 años;TOTAL;Mujeres;2010;50.140
40 Segovia;16-64 años;TOTAL;Mujeres;2009;50.225
40 Segovia;16-64 años;TOTAL;Mujeres;2008;49.904
40 Segovia;16-64 años;TOTAL;Mujeres;2007;48.396
40 Segovia;16-64 años;TOTAL;Mujeres;2006;47.352
40 Segovia;16-64 años;TOTAL;Mujeres;2005;47.061
40 Segovia;16-64 años;TOTAL;Mujeres;2004;45.906
40 Segovia;16-64 años;TOTAL;Mujeres;2003;45.248
40 Segovia;16-64 años;TOTAL;Mujeres;2002;44.866
40 Segovia;16-64 años;TOTAL;Mujeres;2001;44.180
40 Segovia;16-64 años;TOTAL;Mujeres;2000;44.255
40 Segovia;16-64 años;TOTAL;Mujeres;1999;44.334
40 Segovia;16-64 años;TOTAL;Mujeres;1998;44.493
40 Segovia;16-64 años;Españoles;Ambos sexos;2022;83.568
40 Segovia;16-64 años;Españoles;Ambos sexos;2021;83.820
40 Segovia;16-64 años;Españoles;Ambos sexos;2020;83.325
40 Segovia;16-64 años;Españoles;Ambos sexos;2019;83.916
40 Segovia;16-64 años;Españoles;Ambos sexos;2018;84.556
40 Segovia;16-64 años;Españoles;Ambos sexos;2017;85.194
40 Segovia;16-64 años;Españoles;Ambos sexos;2016;85.827
40 Segovia;16-64 años;Españoles;Ambos sexos;2015;86.620
40 Segovia;16-64 años;Españoles;Ambos sexos;2014;87.038
40 Segovia;16-64 años;Españoles;Ambos sexos;2013;87.437
40 Segovia;16-64 años;Españoles;Ambos sexos;2012;88.206
40 Segovia;16-64 años;Españoles;Ambos sexos;2011;88.919
40 Segovia;16-64 años;Españoles;Ambos sexos;2010;89.119
40 Segovia;16-64 años;Españoles;Ambos sexos;2009;89.369
40 Segovia;16-64 años;Españoles;Ambos sexos;2008;89.597
40 Segovia;16-64 años;Españoles;Ambos sexos;2007;89.533
40 Segovia;16-64 años;Españoles;Ambos sexos;2006;89.421
40 Segovia;16-64 años;Españoles;Ambos sexos;2005;89.440
40 Segovia;16-64 años;Españoles;Ambos sexos;2004;88.913
40 Segovia;16-64 años;Españoles;Ambos sexos;2003;88.776
40 Segovia;16-64 años;Españoles;Ambos sexos;2002;89.353
40 Segovia;16-64 años;Españoles;Ambos sexos;2001;89.926
40 Segovia;16-64 años;Españoles;Ambos sexos;2000;90.586
40 Segovia;16-64 años;Españoles;Ambos sexos;1999;90.954
40 Segovia;16-64 años;Españoles;Ambos sexos;1998;91.215
40 Segovia;16-64 años;Españoles;Hombres;2022;43.575
40 Segovia;16-64 años;Españoles;Hombres;2021;43.716
40 Segovia;16-64 años;Españoles;Hombres;2020;43.541
40 Segovia;16-64 años;Españoles;Hombres;2019;43.835
40 Segovia;16-64 años;Españoles;Hombres;2018;44.237
40 Segovia;16-64 años;Españoles;Hombres;2017;44.676
40 Segovia;16-64 años;Españoles;Hombres;2016;45.059
40 Segovia;16-64 años;Españoles;Hombres;2015;45.582
40 Segovia;16-64 años;Españoles;Hombres;2014;45.792
40 Segovia;16-64 años;Españoles;Hombres;2013;46.001
40 Segovia;16-64 años;Españoles;Hombres;2012;46.487
40 Segovia;16-64 años;Españoles;Hombres;2011;46.850
40 Segovia;16-64 años;Españoles;Hombres;2010;46.805
40 Segovia;16-64 años;Españoles;Hombres;2009;46.908
40 Segovia;16-64 años;Españoles;Hombres;2008;47.058
40 Segovia;16-64 años;Españoles;Hombres;2007;46.898
40 Segovia;16-64 años;Españoles;Hombres;2006;46.758
40 Segovia;16-64 años;Españoles;Hombres;2005;46.755
40 Segovia;16-64 años;Españoles;Hombres;2004;46.453
40 Segovia;16-64 años;Españoles;Hombres;2003;46.320
40 Segovia;16-64 años;Españoles;Hombres;2002;46.479
40 Segovia;16-64 años;Españoles;Hombres;2001;46.689
40 Segovia;16-64 años;Españoles;Hombres;2000;46.901
40 Segovia;16-64 años;Españoles;Hombres;1999;47.072
40 Segovia;16-64 años;Españoles;Hombres;1998;47.134
40 Segovia;16-64 años;Españoles;Mujeres;2022;39.993
40 Segovia;16-64 años;Españoles;Mujeres;2021;40.104
40 Segovia;16-64 años;Españoles;Mujeres;2020;39.784
40 Segovia;16-64 años;Españoles;Mujeres;2019;40.081
40 Segovia;16-64 años;Españoles;Mujeres;2018;40.319
40 Segovia;16-64 años;Españoles;Mujeres;2017;40.518
40 Segovia;16-64 años;Españoles;Mujeres;2016;40.768
40 Segovia;16-64 años;Españoles;Mujeres;2015;41.038
40 Segovia;16-64 años;Españoles;Mujeres;2014;41.246
40 Segovia;16-64 años;Españoles;Mujeres;2013;41.436
40 Segovia;16-64 años;Españoles;Mujeres;2012;41.719
40 Segovia;16-64 años;Españoles;Mujeres;2011;42.069
40 Segovia;16-64 años;Españoles;Mujeres;2010;42.314
40 Segovia;16-64 años;Españoles;Mujeres;2009;42.461
40 Segovia;16-64 años;Españoles;Mujeres;2008;42.539
40 Segovia;16-64 años;Españoles;Mujeres;2007;42.635
40 Segovia;16-64 años;Españoles;Mujeres;2006;42.663
40 Segovia;16-64 años;Españoles;Mujeres;2005;42.685
40 Segovia;16-64 años;Españoles;Mujeres;2004;42.460
40 Segovia;16-64 años;Españoles;Mujeres;2003;42.456
40 Segovia;16-64 años;Españoles;Mujeres;2002;42.874
40 Segovia;16-64 años;Españoles;Mujeres;2001;43.237
40 Segovia;16-64 años;Españoles;Mujeres;2000;43.685
40 Segovia;16-64 años;Españoles;Mujeres;1999;43.881
40 Segovia;16-64 años;Españoles;Mujeres;1998;44.081
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2022;14.266
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2021;14.107
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2020;14.009
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2019;13.114
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2018;12.565
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2017;12.518
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2016;13.127
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2015;13.709
40 Segovia;16-64 años;Extranjeros;Ambos sexos;2014;14.848
